Conference,Subfield,Paper
ICMR22,Information retrieval,Self-Lifting: A Novel Framework for Unsupervised Voice-Face Association Learning
ICMR22,Information retrieval,Revisiting Performance Measures for Cross-Modal Hashing
ICMR22,Information systems applications,Motor Learning based on Presentation of a Tentative Goal
ICMR22,Information retrieval,MSSPQ: Multiple Semantic Structure-Preserving Quantization for Cross-Modal Retrieval
KDD22,Information systems applications,Motif Prediction with Graph Neural Networks
KDD22,Information systems applications,Avoiding Biases due to Similarity Assumptions in Node Embeddings
KDD22,Data management systems,Efficient Join Order Selection Learning with Graph-based Representation
KDD22,Information retrieval,Knowledge-enhanced Black-box Attacks for Recommendations
KDD22,Data management systems/Information retrieval/Information systems applications,Multi-modal Siamese Network for Entity Alignment
KDD22,Information retrieval,Scalar is Not Enough: Vectorization-based Unbiased Learning to Rank
KDD22,Information retrieval,Learning Binarized Graph Representations with Multi-faceted Quantization Reinforcement for Top-K Recommendation
KDD22,World Wide Web,Noisy Interactive Graph Search
KDD22,Information systems applications,A Generalized Doubly Robust Learning Framework for Debiasing Post-Click Conversion Rate Prediction
KDD22,Information systems applications,Discovering Significant Patterns under Sequential False Discovery Control
KDD22,Information systems applications/Information retrieval,Debiasing the Cloze Task in Sequential Recommendation with Bidirectional Transformers
KDD22,Information systems applications,Robust Event Forecasting with Spatiotemporal Confounder Learning
KDD22,Information retrieval,Addressing Unmeasured Confounder for Recommendation with Sensitivity Analysis
KDD22,Information systems applications,On Structural Explanation of Bias in Graph Neural Networks
KDD22,Data management systems,On Aligning Tuples for Regression
KDD22,World Wide Web/Information retrieval,PARSRec: Explainable Personalized Attention-fused Recurrent Sequential Recommendation Using Session Partial Actions
KDD22,Information systems applications,Subset Node Anomaly Tracking over Large Dynamic Graphs
KDD22,Information systems applications/Information retrieval,BLISS: A Billion scale Index using Iterative Re-partitioning
KDD22,Information systems applications,ProActive: Self-Attentive Temporal Point Process Flows for Activity Sequences
KDD22,Information systems applications,Continuous-Time and Multi-Level Graph Representation Learning for Origin-Destination Demand Prediction
KDD22,Information systems applications,Quantifying and Reducing Registration Uncertainty of Spatial Vector Labels on Earth Imagery
KDD22,Information retrieval,Towards Universal Sequence Representation Learning for Recommender Systems
KDD22,Information systems applications,Information systems/Computing methodologies
KDD22,Information retrieval,Few-Shot Fine-Grained Entity Typing with Automatic Label Interpretation and Instance Generation
KDD22,Data management systems,Detecting Cash-out Users via Dense Subgraphs
KDD22,Information systems applications,JuryGCN: Quantifying Jackknife Uncertainty on Graph Convolutional Networks
KDD22,Data management systems,HyperLogLogLog: Cardinality Estimation With One Log More
KDD22,Information retrieval,CoRGi: Content-Rich Graph Neural Networks with Attention
KDD22,Information systems applications,Modeling Network-level Traffic Flow Transitions on Sparse Data
KDD22,Information systems applications,The DipEncoder: Enforcing Multimodality in Autoencoders
KDD22,Information systems applications,Mining Spatio-Temporal Relations via Self-Paced Graph Contrastive Learning
KDD22,Information systems applications,Graph Structural Attack by Perturbing Spectral Distance
KDD22,Information systems applications,Source Localization of Graph Diffusion via Variational Autoencoders for Graph Inverse Problems
KDD22,Data management systems,Semantic Enhanced Text-to-SQL Parsing via Iteratively Learning Schema Linking Graph
KDD22,Information systems applications,MSDR: Multi-Step Dependency Relation Networks for Spatial Temporal Forecasting
KDD22,Information retrieval,User-Event Graph Embedding Learning for Context-Aware Recommendation
KDD22,Information systems applications,Fair Representation Learning: An Alternative to Mutual Information
KDD22,Information systems applications,Joint Knowledge Graph Completion and Question Answering
KDD22,Information systems applications,Mask and Reason: Pre-Training Knowledge Graph Transformers for Complex Logical Queries
KDD22,Information systems applications,Geometer: Graph Few-Shot Class-Incremental Learning via Prototype Representation
KDD22,Information systems applications,Spatio-Temporal Graph Few-Shot Learning with Cross-City Knowledge Transfer
KDD22,Information systems applications,Learning Differential Operators for Interpretable Time Series Modeling
KDD22,World Wide Web,Learning Causal Effects on Hypergraphs
KDD22,Information retrieval,CrossCBR: Cross-view Contrastive Learning for Bundle Recommendation
KDD22,Information retrieval,Extracting Relevant Information from User's Utterances in Conversational Search and Recommendation
KDD22,Information systems applications,Predicting Opinion Dynamics via Sociologically-Informed Neural Networks
KDD22,Information systems applications,FedWalk: Communication Efficient Federated Unsupervised Node Embedding with Differential Privacy
KDD22,World Wide Web,Core-periphery Models for Hypergraphs
KDD22,World Wide Web,Neural Bandit with Arm Group Graph
KDD22,World Wide Web/Information systems applications,Rep2Vec: Repository Embedding via Heterogeneous Graph Adversarial Contrastive Learning
KDD22,Information systems applications,Graph-Flashback Network for Next Location Recommendation
KDD22,World Wide Web/Information retrieval,Fair Ranking as Fair Division: Impact-Based Individual Fairness in Ranking
KDD22,Information systems applications,Pre-training Enhanced Spatial-temporal Graph Neural Network for Multivariate Time Series Forecasting
KDD22,Information systems applications/Data management systems,Multi-View Clustering for Open Knowledge Base Canonicalization
KDD22,Information systems applications,Pairwise Adversarial Training for Unsupervised Class-imbalanced Domain Adaptation
KDD22,Information systems applications,ERNet: Unsupervised Collective Extraction and Registration in Neuroimaging Data
KDD22,Information retrieval,Detecting Arbitrary Order Beneficial Feature Interactions for Recommender Systems
KDD22,Information retrieval,Knowledge Enhanced Search Result Diversification
KDD22,Information systems applications,GPPT: Graph Pre-training and Prompt Tuning to Generalize Graph Neural Networks
KDD22,Information systems applications,Incremental Cognitive Diagnosis for Intelligent Education
KDD22,Information retrieval,Aligning Dual Disentangled User Representations from Ratings and Textual Content
